,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,CLASS1
360,21.234486,464.88724,7.2583384e-10,1.089667e-11,8.1285196e-12,2.5901651,9.063578e-12,2.4852147,0.10260857,2.879641,2
361,26.778605,3053.8494,9.874078e-10,8.335864e-12,1.0418943e-13,1.8932655,1.3218421e-13,1.5895778,0.23359337,5.8503957,1
362,15.486256,1229.1926,5.19585e-10,4.911396e-12,3.9197183e-13,2.3298757,4.4415207e-13,2.2549174,0.10682285,2.4190898,1
363,12.047324,939.27167,2.5989152e-10,4.247288e-12,5.123965e-13,2.699541,5.977986e-13,2.7531831,0.16779025,2.9571586,2
364,10.706359,1627.1892,5.285615e-10,6.9911065e-12,2.3036222e-13,2.401088,2.4596669e-13,2.3783548,0.04177886,0.76473224,1
365,11.582193,1055.1176,2.83908e-10,4.1413648e-12,3.7078936e-13,2.491887,3.9157132e-13,2.4888644,0.04332686,0.7602805,2
366,89.55751,1303.206,4.662321e-09,3.9426257e-11,2.4998489e-12,1.9903857,2.8051801e-12,1.8400599,0.104130246,10.160348,1
367,13.36516,2011.1968,3.1958522e-10,3.680688e-12,8.2872646e-14,2.2128365,8.829356e-14,2.1957097,0.045782622,0.8457392,1
368,46.907944,1772.5565,1.4426091e-09,1.3295585e-11,4.4659968e-13,2.0279598,4.796684e-13,1.9336871,0.06791668,3.6980753,1
369,29.062435,2054.5532,1.0191644e-09,9.450056e-12,2.273707e-13,1.959339,2.500842e-13,1.8352001,0.08055269,3.142475,1
370,8.753725,1771.487,2.573845e-10,1.911891e-12,7.744649e-14,2.2629979,9.736477e-14,2.214639,0.19893754,2.2038958,2
371,6.8361025,4632.0435,1.1860991e-10,9.614093e-13,6.059209e-15,2.005905,8.235906e-15,1.7782495,0.2838535,2.1036234,1
372,58.99663,1761.3152,2.046289e-09,2.1542225e-11,6.1421734e-13,1.890837,6.3939164e-13,1.8107426,0.040393647,2.8499115,1
373,14.727509,3654.2031,4.431355e-10,3.9461247e-12,3.5648252e-14,1.982233,4.1508433e-14,1.7359515,0.16635993,2.462555,1
374,28.905853,1351.7965,9.052483e-10,8.704762e-12,5.0934387e-13,2.103688,5.3531593e-13,2.026788,0.04901431,2.0324051,1
