,CLASS1,HR_25
966,1,0.0194990662373849
969,2,0.0454408531234632
979,1,-0.0049160666184936
981,1,0.0204616726536938
985,1,0.0297467241970465
990,1,0.0269139937401342
993,1,0.0360628985588877
998,1,0.0338527228891596
1010,1,0.023251161992352
1011,2,0.0493611653515892
1018,2,0.0359300804000443
1020,1,0.0269431088248333
1029,2,0.0529908701236644
1035,1,0.0311741518448821
1037,2,0.0409795440419146
1038,1,0.0325778644946992
1046,1,0.0255641554038746
1068,2,0.0341453414592015
1072,3,0.0461903437222597
1084,2,0.0433059073074691
1085,1,0.0201252749132015
1090,2,0.0378348798340934
1092,1,0.0215250256989177
1093,1,0.0304193882996934
1095,1,0.0365347054764404
1109,1,0.0306823203513168
1115,1,0.0206183961093659
1116,1,0.0249418624440178
1121,1,0.0178134256104601
1127,2,0.0425629929616284
1128,1,0.0273688225986177
1129,1,0.020579742797954
1130,1,0.026845216614321
1132,1,0.0356278836051745
1133,1,0.0199025205297811
1143,1,0.0275631151383266
1148,1,0.0385976064089713
1153,1,0.0238549363741678
1155,1,0.0124802915061342
1159,1,0.0205314061729723
1163,1,0.0228546136411488
1166,2,0.0429983121889904
1170,2,0.0391881110750134
1184,1,0.0202264476542165
1186,2,0.0444204207841186
1187,2,0.0327893782127515
1189,1,0.0217463904301912
1201,2,0.0516135603115544
1202,1,0.030783387818314
1213,2,0.0384471430627872
1215,2,0.0338219244969529
1225,1,0.0255267594345327
1233,2,0.0414177758986788
1238,1,0.026874838850334
1241,1,0.022357459669724
1242,2,0.0409137941161896
1243,1,0.0201694188104223
1248,2,0.0414258320377611
1249,1,0.0228996498742467
1256,1,0.027322476698939
1262,1,0.0275861058510605
1263,1,0.0273154366478335
1264,1,0.0110093085916152
1266,2,0.0383460276506477
1268,1,0.0119916121562437
1276,2,0.0378299571891248
1277,1,0.0299021686369985
1279,1,0.0224226459507247
1282,2,0.0320463092470599
1298,2,0.0377796858416629
1299,1,0.0200658616552548
1303,1,0.0182518601712599
1305,1,0.0319727909013574
1320,2,0.0370056977527323
1322,1,0.0253540545644172
1323,1,0.0243915727031519
1339,2,0.0256293935878835
1340,1,0.0322189474376092
1342,1,0.0286215591317329
1344,2,0.0350695638481056
1347,1,0.0200490177521562
1355,1,0.023354577546831
1360,2,0.0596493126753734
1364,2,0.0499997363986432
1370,1,0.0310744381694781
1372,2,0.0383915293261152
1381,2,0.0363376237561919
1400,1,0.0217433412008034
1401,2,0.0531156621267055
1402,1,0.0142863076811735
1406,1,0.0198650433151774
1410,1,0.0321385328560801
1417,2,0.0527607826450734
1424,1,0.0239011736986506
1427,2,0.0459886583473033
1440,1,0.0182510185439663
1467,1,0.0237051968576691
1480,2,0.0603386200433082
1482,1,0.0206262266445489
