,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy
1011,2,0.80116624,0.0304361651727085,36.64287,978.01514
1018,2,0.74268806,0.0239522800253244,24.111116,716.9914
1020,1,0.37426892,0.0176351601215595,20.307972,1549.1743
1029,2,0.8354504,0.0310060451201974,146.01923,381.35083
1035,1,0.3508254,0.0171292576538147,10.282987,1874.3735
1037,2,0.571608,0.024353650692387,61.02579,546.3514
1038,1,0.41186026,0.0231485344552945,21.75386,1406.3059
1046,1,0.5216299,0.0145599553861391,20.429445,1559.9371
1068,2,0.8784831,0.0263282870296109,24.166164,822.8525
1072,3,0.3426897,0.0313952086304182,13.377575,612.9544
1084,2,0.9584666,0.0272079764414483,19.908537,1130.8817
1085,1,0.27618846,0.0082408330304554,11.617396,5340.615
1090,2,0.7443865,0.0237114979140645,74.607,575.5654
1092,1,0.011470686,0.0123249154835409,57.874634,2089.1255
1093,1,0.32582438,0.0195304450487071,41.315685,1055.8533
1095,1,0.513291,0.019385660057045,32.571613,869.0331
1109,1,0.5516793,0.018580877896731,258.51013,873.59894
1115,1,0.23873256,0.0120150744817678,19.914165,2881.741
1116,1,0.13037063,0.0195382329428682,15.082256,1940.8285
1121,1,0.3936221,0.0129802082775688,21.231548,2769.053
1127,2,0.48724928,0.0256902296808886,44.64831,658.0166
1128,1,0.5156558,0.0170978712400452,47.29402,1927.4333
1129,1,0.24052568,0.0101393263013522,23.48558,1856.244
1130,1,0.56762815,0.0211099500692524,14.204053,1055.0642
1132,1,0.37968385,0.0227044104468878,9.0991745,989.2858
1133,1,0.40513188,0.0123529573689829,19.747355,3039.2334
1143,1,0.0,0.0188197703120469,11.815137,1962.6301
1148,1,0.29272628,0.0234468629024293,32.876137,750.52374
1153,1,0.19002491,0.0130517035918486,19.509777,1993.8114
1155,1,0.0,0.004090753957026,12.91811,6728.482
1159,1,0.1486964,0.0138542027967763,21.074654,2685.9055
1163,1,0.03679147,0.0128070221410808,9.450008,5041.8047
1166,2,0.6601595,0.0257122422386813,77.89479,435.50934
1170,2,0.6552725,0.0232010873422643,14.270526,983.7516
1184,1,0.23062599,0.0138318843126987,30.34222,1945.1829
1186,2,0.40893424,0.027087053681348,46.504147,518.4282
1187,2,1.1478361,0.0214272978900606,28.151424,1790.9221
1189,1,0.29368258,0.0129566649561326,180.19302,1638.016
1201,2,0.40446264,0.0321164581976035,56.70437,362.9587
