,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46
420,7.0,0.0,0.0193835905741233,4.1197968,1788.399,0.1117645390117932,0.0864355558214414,2.6927923e-14,0.0232195707442797,0.0806591755266853,-0.0255760589185042,-0.0084155975,0.0174049866570736
425,7.0,0.3427185,0.0266472363210586,4.7814684,751.1124,0.0405012400324715,0.0859846368181297,3.8483282e-13,0.1095426036523547,0.0716113696949969,0.0456423455426689,0.11491079,0.0952311541327491
435,7.0,1.2751882,0.0264289989113843,8.190718,639.6463,0.0245750422873796,0.109866652712651,1.0147205e-12,0.103110016304886,0.1019019142790345,0.0855225193148288,0.08734875,0.0951341109958312
444,7.0,0.7358651,0.0197467305439288,7.038001,2355.3,0.0229680485148543,0.1062010983735752,3.4774423e-14,0.0230341728323187,0.0979940769312054,0.0834365710110137,0.0319578,0.0147436585258551
448,7.0,1.2186601,0.0238871204691398,34.82596,605.84937,0.0282774731711641,0.103454719378645,3.836962e-12,0.0760424508125858,0.0914158722906582,0.0753978178528398,0.13326307,0.0639477612030809
449,7.0,0.3995271,0.0206719743508424,3.4664354,1196.6686,-0.048380886167463,0.0066533923642628,5.5500492e-14,-0.0476661845579184,0.065177188827772,0.0550165688622353,-0.026671719,0.0109134591856995
456,7.0,0.5714494,0.0234252041013849,7.1940575,1302.8003,0.0237028682240615,0.0756980553863007,1.7112855e-13,0.0866174998932608,0.0639831907226614,0.0520886477931652,0.15024897,0.0749220135625546
458,7.0,0.08056004,0.0185876906976143,10.492841,1592.469,0.0229474353166697,0.0784164436904651,1.2276372e-13,0.0326339385860595,0.0698588887124566,0.0555690023634798,0.08281275,0.0240359957951408
460,7.0,0.33472776,0.022498300533857,4.970475,1286.9719,0.0144726247036836,0.1012822518106695,8.631735e-14,0.0295914436673752,0.0891418859371761,0.0869370611917259,0.0027636238,0.0173467586053135
461,7.0,0.0,-0.0054896695721237,5.7916536,4409.256,0.0145321256383178,0.084575763069285,5.5094724e-15,0.0200071335759127,0.0789823402872278,0.0701298315955586,0.32847238,0.0143777153130852
462,7.0,1.1675855,0.0225424343661121,11.389917,1278.6083,0.0249949275053521,0.0919646762730342,2.0250395e-13,0.0300726650250501,0.0819036771228353,0.0671240434781803,0.056758747,0.0199413881008203
463,7.0,0.0,0.0130869684718254,3.9335983,2354.7566,0.0167945364430541,0.0733297197076773,1.915415e-14,0.1085378612215165,0.0707112094508626,0.0566048943798304,0.761771,0.1059359673349579
466,7.0,0.0,0.0205360216505147,3.493794,1850.018,0.0778202913947586,0.0959289026010089,3.185229e-14,0.0878029508300168,0.0853916494645317,0.0182448126581805,0.6809891,0.0772507314259747
469,7.0,0.5837029,0.0217873764784563,4.345302,1085.3251,0.0306338773403762,0.0681139237394541,9.624233e-14,0.071806756274828,0.0595018808949408,0.0375584155480234,0.08069016,0.0631989090157221
470,7.0,0.15335765,0.01517863561986,8.656888,3159.6033,0.0176639395076649,0.0272544823915744,1.307142e-14,0.019764582762215,0.021239584594968,0.0095951622015606,0.013344722,0.0137478363978043
472,7.0,0.16004069,0.0145414140884354,10.221706,2103.7773,0.0108529197929928,0.0520111985326257,5.1371772e-14,0.0646995265356084,0.0501017542404081,0.041181524613449,0.09135802,0.0627928712214861
474,7.0,0.0,0.0212113232541852,11.357763,1124.5995,0.0241833233508307,0.0720831849256197,2.2626875e-13,0.0731364442058956,0.0652765012087577,0.0479835069504463,0.072859555,0.0663307579896586
475,7.0,0.5137127,0.0257237451424064,7.1964846,1182.0104,0.027864215600642,0.0960804806762098,2.8924847e-13,0.0291652510410159,0.0829658696612749,0.0683993844019186,0.4984805,0.01595140846187
476,7.0,0.7210567,0.0229266167736971,8.145438,1253.6923,0.0206966898354568,0.0878833512647012,1.5914756e-13,0.1295079632569439,0.0764243894841999,0.0673090895595421,0.09256474,0.1181480381733191
488,7.0,2.420672,0.0207921565805022,28.280363,1001.67365,0.0261613131841317,0.1125443203936803,8.868543e-13,0.0862985442491026,0.102742600453225,0.0866380963816382,0.1469521,0.0764475817158906
