,y_probs,classes,bin_n_ascending,bin_n_descending
618,0.9263146647797588,0.0,44.0,30.0
619,0.9768168784899954,0.0,53.0,20.0
620,0.9977321867414656,0.0,0.0,0.0
621,0.9960058594920688,0.0,71.0,2.0
622,0.9905765248939296,0.0,62.0,12.0
623,0.6927655889871258,1.0,31.0,43.0
624,0.7883677962661451,0.0,35.0,39.0
625,0.5798213875862056,1.0,20.0,53.0
626,0.5804585951266915,1.0,21.0,53.0
627,0.964602083366644,0.0,49.0,25.0
628,0.9927079637562874,0.0,65.0,9.0
629,0.47196351706088463,1.0,10.0,64.0
630,0.994200550800979,0.0,68.0,6.0
631,0.970360958994044,0.0,51.0,23.0
632,0.9936387598765184,0.0,67.0,7.0
633,0.759588940371281,0.0,33.0,40.0
634,0.6605318326115832,0.0,29.0,45.0
635,0.9802552049763882,0.0,55.0,19.0
636,0.6522253925577656,1.0,28.0,46.0
637,0.95252531147952,0.0,47.0,27.0
638,0.9898550530518848,0.0,62.0,12.0
639,0.45244251188220713,1.0,8.0,66.0
640,0.5149110617369755,1.0,14.0,60.0
641,0.928141166485722,0.0,44.0,30.0
642,0.7854418513101925,0.0,35.0,39.0
643,0.4555540580922715,1.0,8.0,65.0
644,0.9969325924936576,0.0,73.0,1.0
645,0.931252822135434,0.0,45.0,29.0
646,0.961062696226041,0.0,48.0,25.0
647,0.9730155197672282,0.0,52.0,22.0
648,0.5203361664654017,1.0,14.0,60.0
649,0.9949569889976578,0.0,69.0,5.0
650,0.8341107768660407,0.0,37.0,36.0
651,0.39188889259163734,1.0,5.0,69.0
652,0.9819021562728498,0.0,56.0,18.0
653,0.9282451010717764,0.0,44.0,30.0
654,0.8305804817877149,0.0,37.0,36.0
655,0.6173862613135026,1.0,25.0,49.0
656,0.9855877657629962,0.0,58.0,16.0
657,0.5010593464594514,1.0,13.0,61.0
658,0.6964533740759674,1.0,31.0,43.0
659,0.3960047713934762,1.0,5.0,69.0
660,0.9977718018387152,0.0,0.0,0.0
661,0.9957654452815812,0.0,71.0,3.0
662,0.7732296667176997,0.0,34.0,40.0
663,0.93071505513575,0.0,44.0,29.0
664,0.967666582135196,0.0,50.0,24.0
665,0.5627191362186544,0.0,19.0,55.0
666,0.9754248962032422,0.0,53.0,21.0
667,0.9681430336238468,0.0,50.0,24.0
668,0.9941821595205578,0.0,68.0,6.0
669,0.48352882547271625,1.0,11.0,63.0
670,0.5606902890859863,1.0,18.0,55.0
671,0.539917822274907,1.0,16.0,58.0
672,0.8038024522143395,0.0,36.0,38.0
673,0.9884697351212924,0.0,60.0,13.0
674,0.6008510285454961,1.0,23.0,51.0
675,0.5833312457395542,1.0,21.0,53.0
676,0.5905168647780246,1.0,22.0,52.0
677,0.6541851117735339,0.0,28.0,46.0
678,0.9289877111917568,0.0,44.0,30.0
679,0.6925730586599056,1.0,31.0,43.0
680,0.9966872512062116,0.0,73.0,1.0
681,0.9939893420805416,0.0,67.0,6.0
682,0.9906418794738072,0.0,62.0,12.0
683,0.9788596071916452,0.0,54.0,19.0
684,0.6228624971771312,1.0,26.0,48.0
685,0.989683664517862,0.0,61.0,13.0
686,0.97783537593395,0.0,54.0,20.0
687,0.8383328481577822,0.0,38.0,36.0
688,0.5742367484719613,1.0,20.0,54.0
689,0.994495894501216,0.0,68.0,6.0
690,0.9764392776189984,0.0,53.0,21.0
691,0.37613503509061236,1.0,4.0,70.0
692,0.9924228195448456,0.0,65.0,9.0
693,0.6642194110716676,3.0,29.0,45.0
694,0.07685008531745288,3.0,0.0,0.0
695,0.6211845885509208,3.0,26.0,48.0
696,0.8984219440923013,3.0,41.0,33.0
697,0.8213879069286711,3.0,37.0,37.0
698,0.8884754713773997,3.0,40.0,34.0
699,0.8207655949948184,3.0,37.0,37.0
700,0.8927469138589575,3.0,41.0,33.0
701,0.3262353496579368,3.0,3.0,71.0
702,0.5215300695348773,3.0,14.0,59.0
703,0.8747621087214454,3.0,39.0,34.0
704,0.9038980962802796,3.0,42.0,32.0
705,0.031778764404260786,3.0,0.0,0.0
706,0.010013847880468347,3.0,0.0,0.0
707,0.6155597777673906,3.0,25.0,49.0
708,0.8984284644355847,3.0,41.0,33.0
709,0.9041701753377722,3.0,42.0,32.0
710,0.8462497019786805,3.0,38.0,36.0
711,0.6016526809917541,3.0,23.0,51.0
712,0.867681825870116,3.0,39.0,35.0
713,0.9054228420037735,3.0,42.0,32.0
714,0.8910268600068939,3.0,40.0,33.0
715,0.8562621851411844,3.0,39.0,35.0
716,0.8476377055851273,3.0,38.0,36.0
717,0.2498331001795445,3.0,2.0,72.0
718,0.881030793275541,3.0,40.0,34.0
719,0.4159058437319953,3.0,6.0,68.0
720,0.9034461464485254,3.0,42.0,32.0
721,0.8822668820870274,3.0,40.0,34.0
722,0.3169745954192998,3.0,3.0,71.0
723,0.3395234731342439,3.0,3.0,71.0
724,0.7293323186827281,3.0,33.0,41.0
725,0.08615013167226249,3.0,0.0,73.0
726,0.8584485476281073,3.0,39.0,35.0
727,0.8301908514170432,3.0,37.0,37.0
728,0.9069966974322871,3.0,42.0,31.0
729,0.20969957307559497,3.0,1.0,72.0
730,0.9040059733979483,3.0,42.0,32.0
731,0.710267990834993,3.0,32.0,42.0
732,0.8612797849260491,3.0,39.0,35.0
733,0.03991684959959201,3.0,0.0,0.0
734,0.9057572393389631,3.0,42.0,32.0
735,0.8932396113608035,3.0,41.0,33.0
736,0.5858361801964578,3.0,21.0,53.0
737,0.6230800103929136,3.0,26.0,48.0
738,0.8973944604560575,3.0,41.0,33.0
739,0.8370697611588707,3.0,38.0,36.0
740,0.05171995690839986,3.0,0.0,0.0
741,0.8833548134528718,3.0,40.0,34.0
742,0.5282598955633634,3.0,15.0,59.0
743,0.39748058653456436,3.0,5.0,69.0
744,0.6083502013096171,3.0,24.0,50.0
745,0.45823610308568336,3.0,9.0,65.0
