,Signif_Avg,PL_Flux_Density,LP_SigCurv,PLEC_IndexS,PLEC_SigCurv,Npred,Variability_Index,ASSOC_PROB_BAY,Flux_Band_1,Flux_Band_5,CLASS1
74,155.20131,1.52461e-11,9.466281,1.9875683,9.716074,12775.14,1002.4609,1.0,5.7746060377894544e-08,4.232235117918037e-10,1
75,6.812342,3.688068e-13,1.9652668,2.3928857,1.5882945,645.18146,26.671267,0.0,4.902011685459229e-09,4.039778060682675e-12,2
76,17.96409,8.627972e-14,2.2163105,1.8044925,2.4419124,546.97894,12.780651,0.9990996,1.002825822382647e-09,2.9775945598053966e-11,1
77,70.55322,1.2599716e-11,5.8593416,2.2489245,5.8147974,6103.337,1275.7493,0.99959505,3.415106775150889e-08,3.6200112352169356e-11,2
78,21.271841,2.1077495e-12,2.6721444,2.3054316,2.6966236,1381.0742,168.36006,0.99620146,6.993790435672054e-09,5.001961518591447e-12,2
79,38.742313,1.1747962e-12,3.8603516,2.131068,3.6582627,2693.289,490.40823,0.9999032,9.84276127269368e-09,5.6239995299689476e-11,2
80,37.64927,4.6779144e-13,1.5352546,2.042548,2.0682135,2060.0088,85.14392,0.99971163,9.193980687882686e-09,6.681105668704389e-11,1
81,10.510932,2.7570556e-15,0.0,1.6175748,0.0,153.62521,19.036814,0.99941653,7.28534177429907e-10,1.4198290113065504e-11,1
82,13.947945,1.5561337e-12,1.5629947,2.638918,0.0,1244.998,75.31889,0.98203236,1.1650167053289806e-08,1.865351623164813e-12,2
83,41.88115,1.0258902e-12,4.6781425,1.936709,4.220331,1819.2732,35.119682,0.9994983,4.040592749277039e-09,6.094352106300605e-11,1
84,47.701366,2.5244463e-13,1.163552,1.8647388,2.019071,2268.8052,337.6298,0.9998014,8.878582313798233e-09,1.5159282162890975e-10,1
85,30.647429,2.1997452e-12,1.5326248,2.3707516,1.0647805,2269.2798,327.14963,0.80332947,1.3142373411767494e-08,2.6063519398267232e-11,2
86,15.63953,3.6735514e-14,2.169922,1.7174932,2.0956798,321.1665,15.476609,0.99994475,1.7936485630087873e-12,2.783800620576038e-11,1
87,26.498932,9.714361e-13,3.3106396,2.210037,3.4189494,1950.758,347.3575,0.9981054,4.761516958495804e-09,2.510268555522277e-11,2
88,57.702072,2.7342486e-12,4.509079,2.2534633,4.795153,5636.9873,528.2919,0.99951553,3.617347843487551e-08,6.568078025903645e-11,2
89,17.84154,3.342438e-14,2.471723,1.507016,2.81427,254.82469,12.528801,0.99907917,6.803699825752574e-10,3.4673892229664105e-11,1
